Category,Question,Answer
Food & Drink,McDonald's 'Iced Tea' is actually this brand,Nestea
General,Where was the first public library opened in 1747,Warsaw Poland
General,9 p.m. In military time is how many hours,2100
General,"Which author wrote ""The Duncton Chronicles""",William horwood
General,Which former member of the group 'Cream' received the OBE in 1995,Eric clapton
General,What is the 'pound' or 'number' symbol on the telephone,Octothorpe
General,What 1839 innovation changed the face of mail delivery,The envelope envelope
General,In Utmost Good Faith is the motto of which organisation,Lloyds of London
General,Harold Edgerton has taken all the worlds photos of what,US nuclear bomb explosions
Geography,"____________ means ""land of the free.""",Thailand
General,13th century Paris brothels were the first to have what,Red Lights
General,Name Merlin's owl in Disney's Sword in the Stone,Archimedes
General,"Compact, opaque gemstone ranging in color from dark green to almost white",Jade
Science & Nature,Most __________ lived to be more than a hundred years old.,Dinosaurs
Science & Nature,"At the equator, what is the brightest star in the night sky?",Sirius
Sports & Leisure,In what sport is the Heisman trophy awarded,American football
General,The martial art tai quon do translates literally as what,Kick Art Way
Food & Drink,The Berries Of The Juniper Tree Are Used To Flavour Which Alcoholic Drink? ,Gin 
Art & Literature,The surrealist painter Salvador Dali was a native of which country?,Spain
General,"Who appeared in the films Pulp Fiction, Primary Colors and Staying Alive",John travolta
General,What is the largest lake in the u.s,Superior
General,Viscum Album provides an excuse for stealing what,A Kiss (its Mistletoe)
General,What was the principal wood used by Thomas Chippendale during the 18th century,Mahogany
General,What's miami's most famous suburb,Miami beach
General,"What is stolen by tom, tom the piper's son",Pig
General,Which European city has a cathedral located inside an old mosque,Cordoba
Music,The Bee Gees Were Born In Manchester But Spent Their Teenage Years Where,Australia
Geography,What is the capital of Micronesia,Palikir
General,What pre-tv radio show turned film caused people to commit suicide when it was first aired,War of the worlds
General,Which Country Is The Largest Importer Of Arms In Europe,Greece
Sports & Leisure,Who is the last British player to win the women's singles title at Wimbledon? ,Virginia Wade 
Sports & Leisure,Who was Martina Navratilova's usual ladies doubles partner in the 1980's? ,Pam Shriver 
General,"Once married to Ted Hughes, which American poet committed suicide in 1963",Sylvia plath
General,"What U.S. state name is sioux for ""south wind people""",Kansas
General,Spacephobia is a fear of ______,Outer space
History & Holidays,This Queen of France was beheaded in 1793.,Marie antoinette
Music,"Which 2 Musicians Co Wrote & Produced ""Do They Know Its Christmas""",Midge Ure & Bob Geldof
General,In some religions mistletoe represents God's what,Testicles - balls to you
General,What comes in types Rock Ball Greentree Indian Reticulated,Pythons
Food & Drink,Which Nation Eats The Most Chocolate Per Capita (Per Head) ,Switzerland 
General,Vasco da Gama rounded the Cape of Good Hope in what year,1498
General,Who 'came whiffling through the tulgey wood',Jabberwock
General,La Paz is the capital of what country,Bolivia
History & Holidays,"""In which famous Christmas Song is a snowman pretended to be """"Parsons Brown""""?"" ",Winter Wonderland 
General,"What is the dire straits song title for 'here comes johnny singing oldies, goldies ___'",Walk of life
General,From which country did the original vandals come,Germany
General,What new york city avenue divides the east side from the west side,Fifth
General,Chiuhauha dogs were originally bred for what,Tasty meat
General,When Harrison Ford was The Fugitive who was the lawman,Tommy Lee Jones
General,What shields the earth from the solar wind,Earth's magnetic field earths
General,"Proper term for ""Eskimo.""",Inuit
General,Who was the defeated Labour Prime Minister in the Israeli General Election of May 1996,Shimon peres
General,What is the state fruit of Louisiana,Strawberry
General,In Sanskrit it means House of Snow - what does,Himalayas
General,A vicious one of these is a series of reactions that compound an initial problem,Circle
Science & Nature,Which Is The Most Infectous Disease ,Measles 
General,Who wrote the epic poem Samson Agonites,John Milton
General,What is the slogan on license plates manufactured by prisoners in the state prison in Concord,Live Free or Die
General,The locals call it Firenze what do we call it,Florence Italy
General,In Old English what kind of person often had a 'shite',Gossip - phrase Chit Chat from it
General,Pan is the greek god of ______,Shepherds and flocks
Science & Nature,"What fruit is ""Citrus grandis""",Grapefruit
General,What is the most common breeding bird in the US,Red Winged Blackbird
General,Where is poet's corner,Westminster abbey
History & Holidays,Who Succceeded Hitler In 1945? ,Admiral Donitz 
General,What '27 baseball team had a crew of heavy hitters called murderer's row,New
Science & Nature,The rate of change of velocity is known as _________.,Acceleration
Sports & Leisure,Which football team's home ground is Ibrox Stadium? ,Rangers Football Club 
Science & Nature,Some animals spend the winter in a sleep_like state known as _________.,Hibernation
General,What is the only flag permitted to be flown over the US flag,United Nations Flag
General,Off what country lies the island of Zanzibar,Tanzania
History & Holidays,"Ex tv detective, turned crooner. Who sang Silver Lady? ",David Soul 
General,Beverly hills has what fictional zipcode,90210
General,In Ren and Stimpy what sort of dog is Ren,Chiuhauha
General,"Who provided the voice for the independent Eilonwy in Disney's often criticized 1985 movie ""The Black Cauldron""?",Susan Sheridan
General,"What material features in the construction of a ""corduroy road""",Logs
General,This queen of France was beheaded in 1793,Marie antoinette
General,What is a group of this animal called: Viper,Nest
General,In the 1954 film A Star is Born starring Judy Garland who played the leading man,James mason
General,What is a somnambulist,Sleepwalker
General,Close encounters of the first kind,Sighting unexplained craft sighting ufo's
Science & Nature,"On Borneo and Sumatra, the literal translation of this ape's name means ""man of the forest.""",Orang-utan
General,What film won the 1943 Oscar as best film,Casablanca
Music,Who Immortalised The 1969 Woodstock Festival In Song,Joni Mitchell
Food & Drink,Caviar Is A Delicacy That Comes From Which Fish ,Sturgeon 
General,Barkley name the only animal whose main source of food is the porcupine,Fisher
General,Name the first African American doll produced by Mattel,Francie
General,"Which Latin Word Is Used To Express The Meaning ""Word For Word""",Verbatim
Geography,"Though part of the British Isles, the _______________ is administered according to its own laws by the Court of Tynwald. The island is not bound by British law unless it chooses to be.",Isle of man
Sports & Leisure,At Which Course Is The Derby Run Each Year? ,Epsom 
General,What is the fictitious name of a defendent,Richard roe
History & Holidays,Which Of Santa's Reindeer Shares It's Name With A High Street Store ,Comet 
Tech & Video Games,On what non-Nintendo console can you find Zelda games?,Philips CD-I
Music,Which Song Recorded By Whitney Houston In 1993 Was Originally A Hit For Chaka Khan In 1978?,I'm Every Woman
Tech & Video Games,What is IRC an acronym for?,Internet relay chat
General,What is the honeymoon capital of the world,Niagara falls
Science & Nature,In which county is the UK's Met Office? ,Devon 
General,Where would you see a stoop or what creature is doing it,A falcons diving
General,After whom is the month of January named,Janus
Geography,This is the only borough of New York City that is not on an island.,The Bronx
General,What are hiragana and katakana,Japanese alphabets
General,Pavarotti popularized Nessun dorma but what does it mean,None shall sleep
General,Which companies logo is based on the legend of cats nine lives,Ever Ready
General,What do insects do through their spiracles,Breathe
Music,Which Members Of The Bee Gees Were Twins,Maurice & Robin
General,What natural product is petrol refined from,Oil
General,What is a chemically castrated cock called,Capon
General,"What's the international radio code word for the letter ""U""",Uniform
General,What is the effect of the earth's rotation on the wind called,Coriolis
General,Where in London was the Great Exhibition of 1851 held,Hyde park
Science & Nature,Where are there over 58 million dogs?,USA
General,"In the parable of the Good Samaritan, to which city was the Samaritan travelling",Jericho
Music,"The Single ""Up Where We Belong"" Is Taken From Which Film",An Officer And A Gentleman
General,The Monument In The City Of London Is A Monument To Which Event,The Great Fire Of London
General,Which children's character was created by Mary Tourtel,Rupert the Bear
General,In which country is milk the most popular beverage?,USA
General,It is illegal to cross the Iowa state boundaries wearing what,Duck on your head
General,The worlds first what opened in Brighton England in 1897,Petrol (gas) station
Mathematics,What is the maximum number of integer degrees in a reflex angle?,359
General,"What is striped on a tiger, besides it's fur",It's skin
